"SUID","__mclCluster","name","selected","shared name"
"617470","1","SPSB3","false","SPSB3"
"617471","1","PRKD1","false","PRKD1"
"617472","1","CSNK2A1","false","CSNK2A1"
"617473","1","HNRNPD","false","HNRNPD"
"617474","13","MEX3D","false","MEX3D"
"617475","1","RNF43","false","RNF43"
"617476","1","ARMC8","false","ARMC8"
"617477","1","TDRD3","false","TDRD3"
"617478","1","FBXO4","false","FBXO4"
"617479","1","SRSF1","false","SRSF1"
"617480","1","HECW1","false","HECW1"
"617481","7","SOCS4","false","SOCS4"
"617482","1","SCNN1B","false","SCNN1B"
"617483","1","FBXO25","false","FBXO25"
"617484","1","ISG15","false","ISG15"
"617485","12","ZEB2","false","ZEB2"
"617486","1","KIF26B","false","KIF26B"
"617487","1","GGA1","false","GGA1"
"617488","1","ARFIP2","false","ARFIP2"
"617489","1","PDGFRA","false","PDGFRA"
"617490","1","ERG","false","ERG"
"617491","1","RABGEF1","false","RABGEF1"
"617492","1","PPP2R3A","false","PPP2R3A"
"617493","1","CISD2","false","CISD2"
"617494","1","RPS10","false","RPS10"
"617495","1","NOD2","false","NOD2"
"617496","1","BRAP","false","BRAP"
"617497","1","HIST3H2BB","false","HIST3H2BB"
"617498","1","UBE2B","false","UBE2B"
"617499","1","CCDC8","false","CCDC8"
"617500","1","DHX9","false","DHX9"
"617501","1","CHFR","false","CHFR"
"617502","1","BHLHE41","false","BHLHE41"
"617503","1","PRKCB","false","PRKCB"
"617504","1","DPF1","false","DPF1"
"617505","1","DPF3","false","DPF3"
"617506","1","CD2AP","false","CD2AP"
"617507","1","ATXN2","false","ATXN2"
"617508","1","TRAF4","false","TRAF4"
"617509","1","PPP2R1A","false","PPP2R1A"
"617510","1","COPS2","false","COPS2"
"617511","1","KDM4D","false","KDM4D"
"617512","1","DDX51","false","DDX51"
"617513","1","SIRT7","false","SIRT7"
"617514","1","ITLN1","false","ITLN1"
"617515","1","HINT1","false","HINT1"
"617516","1","ARRB2","false","ARRB2"
"617517","1","ARRB1","false","ARRB1"
"617518","12","ELAVL1","false","ELAVL1"
"617519","1","FANCC","false","FANCC"
"617520","1","MAP9","false","MAP9"
"617521","1","YAP1","false","YAP1"
"617522","5","CALCOCO1","false","CALCOCO1"
"617523","1","USP2","false","USP2"
"617524","1","TTF1","false","TTF1"
"617525","1","KDM5B","false","KDM5B"
"617526","1","GPS1","false","GPS1"
"617527","4","TRIM16","false","TRIM16"
"617528","1","ETS2","false","ETS2"
"617529","1","ETS1","false","ETS1"
"617530","5","HES1","false","HES1"
"617531","1","MSH6","false","MSH6"
"617532","1","CLSTN1","false","CLSTN1"
"617533","3","AGT","false","AGT"
"617534","1","NELFE","false","NELFE"
"617535","1","HDGF","false","HDGF"
"617536","1","NDRG1","false","NDRG1"
"617537","1","RAD21","false","RAD21"
"617538","2","JARID2","false","JARID2"
"617539","7","ABCA13","false","ABCA13"
"617540","1","SCARB1","false","SCARB1"
"617541","1","SOX2","false","SOX2"
"617542","1","COPS8","false","COPS8"
"617543","1","COPS3","false","COPS3"
"617544","1","FBXO32","false","FBXO32"
"617545","1","SREK1","false","SREK1"
"617546","1","SMARCAD1","false","SMARCAD1"
"617547","1","WHSC1L1","false","WHSC1L1"
"617548","11","MIR125B2","false","MIR125B2"
"617549","11","MIR579","false","MIR579"
"617550","1","MIR221","false","MIR221"
"617551","1","RBM4","false","RBM4"
"617552","1","TNF","false","TNF"
"617553","1","RNF146","false","RNF146"
"617554","1","CAMK2G","false","CAMK2G"
"617555","1","PRMT3","false","PRMT3"
"617556","1","TRIAP1","false","TRIAP1"
"617557","1","TRIM32","false","TRIM32"
"617558","1","PCK1","false","PCK1"
"617559","1","FKBPL","false","FKBPL"
"617560","4","HOXB7","false","HOXB7"
"617561","1","SOCS6","false","SOCS6"
"617562","1","RPL26","false","RPL26"
"617563","1","SF1","false","SF1"
"617564","1","LIG3","false","LIG3"
"617565","1","ROBO4","false","ROBO4"
"617566","1","USO1","false","USO1"
"617567","1","SGK1","false","SGK1"
"617568","1","NFE2L2","false","NFE2L2"
"617569","1","ELF2","false","ELF2"
"617570","2","PRDM10","false","PRDM10"
"617571","1","ZC3H13","false","ZC3H13"
"617572","1","AHR","false","AHR"
"617573","1","OTUD7B","false","OTUD7B"
"617574","1","TPT1","false","TPT1"
"617575","1","TAOK1","false","TAOK1"
"617576","1","NPM3","false","NPM3"
"617577","8","ANXA7","false","ANXA7"
"617578","1","TAB1","false","TAB1"
"617579","1","PRPH","false","PRPH"
"617580","1","SH3GL1","false","SH3GL1"
"617581","1","KARS","false","KARS"
"617582","5","ANKRD35","false","ANKRD35"
"617583","1","MZT2B","false","MZT2B"
"617584","8","RCC1","false","RCC1"
"617585","1","MAP4K5","false","MAP4K5"
"617586","2","NRBP1","false","NRBP1"
"617587","8","HOXD8","false","HOXD8"
"617588","1","KMT2B","false","KMT2B"
"617589","8","ZNF135","false","ZNF135"
"617590","1","QARS","false","QARS"
"617591","1","DOCK7","false","DOCK7"
"617592","1","PKM","false","PKM"
"617593","1","PDE4DIP","false","PDE4DIP"
"617594","8","ZNF431","false","ZNF431"
"617595","1","CHGB","false","CHGB"
"617596","1","ANGPT2","false","ANGPT2"
"617597","1","GNB5","false","GNB5"
"617598","8","CELF3","false","CELF3"
"617599","1","UNC119","false","UNC119"
"617600","1","INPP5K","false","INPP5K"
"617601","1","APLP1","false","APLP1"
"617602","1","NPRL2","false","NPRL2"
"617603","1","FBN3","false","FBN3"
"617604","1","DYNC1I1","false","DYNC1I1"
"617605","1","ATP5B","false","ATP5B"
"617606","1","RAI1","false","RAI1"
"617607","3","COL4A5","false","COL4A5"
"617608","1","A1BG","false","A1BG"
"617609","1","SP110","false","SP110"
"617610","15","MED31","false","MED31"
"617611","1","RPS2","false","RPS2"
"617612","1","USP4","false","USP4"
